group,tensors,numel_sum,A_l2_delta_sum,B_l2_delta_sum,A_l2_ratio_mean,B_l2_ratio_mean,B_over_A_delta
transformer_blocks.16.attn,28,28330240,461.04506370425224,443.52115792036057,0.6582396284544042,0.7283511961411152,0.9619909046567002
transformer_blocks.19.attn,28,28330240,469.1697858721018,432.5108585059643,0.6892053969204426,0.650767427736095,0.9218642622137396
transformer_blocks.17.attn,28,28330240,472.84739249944687,432.0153097808361,0.6843503043055534,0.6417702620715967,0.9136463828154462
transformer_blocks.15.attn,28,28330240,0.021743287725257687,431.6133362352848,4.427015249218259e-05,0.6803502388564604,19850.417364162404
transformer_blocks.21.attn,28,28330240,478.18562507629395,427.10844653844833,0.8049102973725114,0.7252410767333848,0.8931854579909272
transformer_blocks.13.attn,28,28330240,0.02182150868429744,425.8424479365349,4.459855076025373e-05,0.7551363729206579,19514.803219057554
transformer_blocks.14.attn,28,28330240,0.021710374723625137,425.04062689840794,4.460064935431417e-05,0.6563566093599158,19577.765574737077
transformer_blocks.12.attn,28,28330240,0.02148950036644237,423.7527792453766,4.467949578871152e-05,0.6898582342213818,19719.06149513753
transformer_blocks.18.attn,28,28330240,463.3832835108042,423.1019857227802,0.7333678935787508,0.71031422114798,0.9130713186655434
transformer_blocks.20.attn,28,28330240,459.84469839930534,420.4849619567394,0.7321038596065981,0.7011477165589375,0.914406458137767
transformer_blocks.11.attn,28,28330240,0.02158977148064878,420.0639801323414,4.441159762791358e-05,0.6359668999378171,19456.620024412678
transformer_blocks.10.attn,28,28330240,0.02156184346677037,416.78885278105736,4.384808718376527e-05,0.6302992390202624,19329.926655114334
transformer_blocks.9.attn,28,28330240,0.02148048828530591,411.0492345392704,4.3937410477415794e-05,0.5731020171993545,19135.935322351106
transformer_blocks.7.attn,28,28330240,0.021457280196045758,409.7547048330307,4.417985214136674e-05,0.5539000758102962,19096.30209747859
transformer_blocks.8.attn,28,28330240,0.021225552743999287,409.4959783554077,4.487916417669372e-05,0.5641903967729637,19292.59432133679
transformer_blocks.6.attn,28,28330240,0.02180242039321456,404.94717648625374,4.4206236322809544e-05,0.5318908127290862,18573.496390048032
transformer_blocks.22.attn,28,28330240,457.6175852268934,403.2362103462219,0.9232469545677304,0.7346174235322646,0.8811641496388096
transformer_blocks.5.attn,28,28330240,0.021645122491463553,394.8090534210205,4.431009594035069e-05,0.5103456705276456,18240.093284687395
transformer_blocks.4.attn,28,28330240,0.02178603844367899,390.13493183255196,4.3955928828966406e-05,0.5030406026967934,17907.566482232032
transformer_blocks.3.attn,28,28330240,0.021334754390409216,368.66756439208984,4.404135428818076e-05,0.5431403086653778,17280.141014444478
transformer_blocks.2.attn,28,28330240,0.02043746141862357,347.01023226976395,4.565676187797051e-05,0.519783787961517,16979.12598560665
transformer_blocks.23.attn,26,25969408,369.1636497566942,322.44073145487346,0.6988631286300145,0.6869704892429022,0.8734357558426582
