key,group,A_l2_delta,A_l2_ratio,A_mad,A_cos,numel,B_l2_delta,B_l2_ratio,B_mad,B_cos,B_over_A_ratio
context_embedder.bias,context_embedder.bias,0.0,0.0,0.0,1.0,1536,0.0,0.0,0.0,1.0,0.0
context_embedder.weight,context_embedder.weight,0.0,0.0,0.0,1.0000001192092896,6291456,0.0,0.0,0.0,1.0000001192092896,0.0
norm_out.linear.bias,norm_out.linear.bias,0.0,0.0,0.0,1.0,3072,0.0,0.0,0.0,1.0,0.0
norm_out.linear.weight,norm_out.linear.weight,0.0,0.0,0.0,1.0,4718592,0.0,0.0,0.0,1.0,0.0
pos_embed.pos_embed,pos_embed.pos_embed,0.0,0.0,0.0,0.9999957084655762,226492416,0.0,0.0,0.0,0.9999957084655762,0.0
pos_embed.proj.bias,pos_embed.proj.bias,0.0,0.0,0.0,1.0000001192092896,1536,0.0,0.0,0.0,1.0000001192092896,0.0
pos_embed.proj.weight,pos_embed.proj.weight,0.0,0.0,0.0,1.0,98304,0.0,0.0,0.0,1.0,0.0
proj_out.bias,proj_out.bias,0.0,0.0,0.0,0.9999998807907104,64,0.0,0.0,0.0,0.9999998807907104,0.0
proj_out.weight,proj_out.weight,0.0,0.0,0.0,1.0000001192092896,98304,0.0,0.0,0.0,1.0000001192092896,0.0
time_text_embed.text_embedder.linear_1.bias,time_text_embed.text_embedder.linear_1,0.0,0.0,0.0,1.0,1536,0.0,0.0,0.0,1.0,0.0
time_text_embed.text_embedder.linear_1.weight,time_text_embed.text_embedder.linear_1,0.0,0.0,0.0,1.0000001192092896,3145728,0.0,0.0,0.0,1.0000001192092896,0.0
time_text_embed.text_embedder.linear_2.bias,time_text_embed.text_embedder.linear_2,0.0,0.0,0.0,1.0,1536,0.0,0.0,0.0,1.0,0.0
time_text_embed.text_embedder.linear_2.weight,time_text_embed.text_embedder.linear_2,0.0,0.0,0.0,1.0000001192092896,2359296,0.0,0.0,0.0,1.0000001192092896,0.0
time_text_embed.timestep_embedder.linear_1.bias,time_text_embed.timestep_embedder.linear_1,0.0,0.0,0.0,1.0,1536,0.0,0.0,0.0,1.0,0.0
time_text_embed.timestep_embedder.linear_1.weight,time_text_embed.timestep_embedder.linear_1,0.0,0.0,0.0,1.000000238418579,393216,0.0,0.0,0.0,1.000000238418579,0.0
time_text_embed.timestep_embedder.linear_2.bias,time_text_embed.timestep_embedder.linear_2,0.0,0.0,0.0,1.0,1536,0.0,0.0,0.0,1.0,0.0
time_text_embed.timestep_embedder.linear_2.weight,time_text_embed.timestep_embedder.linear_2,0.0,0.0,0.0,1.0000001192092896,2359296,0.0,0.0,0.0,1.0000001192092896,0.0
transformer_blocks.0.attn.add_k_proj.bias,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,1536,1.7657281160354614,0.5825516581535339,0.033681802451610565,0.8843233585357666,582551658153.5339
transformer_blocks.0.attn.add_k_proj.weight,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,2359296,28.774269104003906,0.4634475111961365,0.014684849418699741,0.8872835040092468,463447511196.1365
transformer_blocks.0.attn.add_q_proj.bias,transformer_blocks.0.attn,0.0,0.0,0.0,1.0000001192092896,1536,1.0435123443603516,0.3761760890483856,0.0207118708640337,0.92739337682724,376176089048.3856
transformer_blocks.0.attn.add_q_proj.weight,transformer_blocks.0.attn,0.0,0.0,0.0,0.9999998807907104,2359296,34.66691970825195,0.5595560669898987,0.01784338988363743,0.8407682180404663,559556066989.8987
transformer_blocks.0.attn.add_v_proj.bias,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,1536,0.5772742629051208,0.6847946643829346,0.01101827621459961,0.7501935362815857,684794664382.9346
transformer_blocks.0.attn.add_v_proj.weight,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,2359296,25.49541664123535,0.5038400888442993,0.01307528093457222,0.8657114505767822,503840088844.2993
transformer_blocks.0.attn.norm_added_k.weight,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,64,1.6937869787216187,0.21534915268421173,0.21021264791488647,0.9994584321975708,215349152684.21173
transformer_blocks.0.attn.norm_added_q.weight,transformer_blocks.0.attn,0.0,0.0,0.0,1.0000001192092896,64,1.5157862901687622,0.192192941904068,0.18723902106285095,0.9993399977684021,192192941904.068
transformer_blocks.0.attn.norm_k.weight,transformer_blocks.0.attn,0.0,0.0,0.0,0.9999998807907104,64,1.667535424232483,0.19183678925037384,0.1880490928888321,0.9939190149307251,191836789250.37384
transformer_blocks.0.attn.norm_q.weight,transformer_blocks.0.attn,0.0,0.0,0.0,0.9999998807907104,64,1.067217230796814,0.12614785134792328,0.1258569359779358,0.9989022612571716,126147851347.92328
transformer_blocks.0.attn.to_add_out.bias,transformer_blocks.0.attn,0.0,0.0,0.0,1.0000001192092896,1536,0.6104961037635803,0.5497170090675354,0.012036318890750408,0.8397879004478455,549717009067.5354
transformer_blocks.0.attn.to_add_out.weight,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,2359296,30.370590209960938,0.5022957921028137,0.015645841136574745,0.8673484921455383,502295792102.8137
transformer_blocks.0.attn.to_k.bias,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,1536,1.3686881065368652,0.4516122043132782,0.024937614798545837,0.8981359004974365,451612204313.2782
transformer_blocks.0.attn.to_k.weight,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,2359296,24.955883026123047,0.4964215159416199,0.011953485198318958,0.871183454990387,496421515941.6199
transformer_blocks.0.attn.to_k_control.bias,transformer_blocks.0.attn,0.0,0.0,0.0,0.0,1536,0.0,0.0,0.0,0.0,0.0
transformer_blocks.0.attn.to_k_control.weight,transformer_blocks.0.attn,0.0,0.0,0.0,0.0,2359296,0.0,0.0,0.0,0.0,0.0
transformer_blocks.0.attn.to_out.0.bias,transformer_blocks.0.attn,0.0,0.0,0.0,1.0000001192092896,1536,0.5002043843269348,1.0125515460968018,0.007098971866071224,0.7961589694023132,1012551546096.8018
transformer_blocks.0.attn.to_out.0.weight,transformer_blocks.0.attn,0.0,0.0,0.0,0.9999998807907104,2359296,21.97661018371582,0.6354572176933289,0.010417555458843708,0.7920865416526794,635457217693.3289
transformer_blocks.0.attn.to_out_control.bias,transformer_blocks.0.attn,0.0002535320818424225,0.00020122398564126343,3.787667765209335e-06,0.9999999403953552,1536,0.9205028414726257,0.7305870652198792,0.015132885426282883,0.7308029532432556,3630.715589202343
transformer_blocks.0.attn.to_out_control.weight,transformer_blocks.0.attn,0.009363658726215363,0.000207822464290075,3.5005448353331303e-06,0.9999998807907104,2359296,29.92328643798828,0.6641347408294678,0.013666972517967224,0.7524393200874329,3195.6831033761437
transformer_blocks.0.attn.to_q.bias,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,1536,0.9477680325508118,0.37849533557891846,0.017474137246608734,0.9256502389907837,378495335578.91846
transformer_blocks.0.attn.to_q.weight,transformer_blocks.0.attn,0.0,0.0,0.0,0.9999999403953552,2359296,19.93364143371582,0.485248863697052,0.009282373823225498,0.8760212063789368,485248863697.052
transformer_blocks.0.attn.to_q_control.bias,transformer_blocks.0.attn,0.0001220798003487289,0.0002087712928187102,1.797602635633666e-06,1.0,1536,0.8793814778327942,1.5038492679595947,0.016497859731316566,0.7299385070800781,7203.333563978798
transformer_blocks.0.attn.to_q_control.weight,transformer_blocks.0.attn,0.006566314492374659,0.00020733529527205974,2.6289485504094046e-06,0.9999999403953552,2359296,19.857460021972656,0.6270111799240112,0.009125941433012486,0.8331244587898254,3024.1410468831327
transformer_blocks.0.attn.to_v.bias,transformer_blocks.0.attn,0.0,0.0,0.0,1.0,1536,0.44391942024230957,0.5030965805053711,0.008478554897010326,0.8642312288284302,503096580505.3711
