key,group,numel,B_l2_delta,B_l2_ratio,B_mad,B_cos
context_embedder.bias,context_embedder.bias,1536,0.0,0.0,0.0,1.0
context_embedder.weight,context_embedder.weight,6291456,0.0,0.0,0.0,1.0000001192092896
norm_out.linear.bias,norm_out.linear.bias,3072,0.0,0.0,0.0,1.0
norm_out.linear.weight,norm_out.linear.weight,4718592,0.0,0.0,0.0,1.0
pos_embed.pos_embed,pos_embed.pos_embed,226492416,0.0,0.0,0.0,0.9999957084655762
pos_embed.proj.bias,pos_embed.proj.bias,1536,0.0,0.0,0.0,1.0000001192092896
pos_embed.proj.weight,pos_embed.proj.weight,98304,0.0,0.0,0.0,1.0
proj_out.bias,proj_out.bias,64,0.0,0.0,0.0,0.9999998807907104
proj_out.weight,proj_out.weight,98304,0.0,0.0,0.0,1.0000001192092896
time_text_embed.text_embedder.linear_1.bias,time_text_embed.text_embedder.linear_1,1536,0.0,0.0,0.0,1.0
time_text_embed.text_embedder.linear_1.weight,time_text_embed.text_embedder.linear_1,3145728,0.0,0.0,0.0,1.0000001192092896
time_text_embed.text_embedder.linear_2.bias,time_text_embed.text_embedder.linear_2,1536,0.0,0.0,0.0,1.0
time_text_embed.text_embedder.linear_2.weight,time_text_embed.text_embedder.linear_2,2359296,0.0,0.0,0.0,1.0000001192092896
time_text_embed.timestep_embedder.linear_1.bias,time_text_embed.timestep_embedder.linear_1,1536,0.0,0.0,0.0,1.0
time_text_embed.timestep_embedder.linear_1.weight,time_text_embed.timestep_embedder.linear_1,393216,0.0,0.0,0.0,1.000000238418579
time_text_embed.timestep_embedder.linear_2.bias,time_text_embed.timestep_embedder.linear_2,1536,0.0,0.0,0.0,1.0
time_text_embed.timestep_embedder.linear_2.weight,time_text_embed.timestep_embedder.linear_2,2359296,0.0,0.0,0.0,1.0000001192092896
transformer_blocks.0.attn.add_k_proj.bias,transformer_blocks.0.attn,1536,1.7657281160354614,0.5825516581535339,0.0336818024516105,0.8843233585357666
transformer_blocks.0.attn.add_k_proj.weight,transformer_blocks.0.attn,2359296,28.774269104003903,0.4634475111961365,0.0146848494186997,0.8872835040092468
transformer_blocks.0.attn.add_q_proj.bias,transformer_blocks.0.attn,1536,1.0435123443603516,0.3761760890483856,0.0207118708640337,0.92739337682724
transformer_blocks.0.attn.add_q_proj.weight,transformer_blocks.0.attn,2359296,34.66691970825195,0.5595560669898987,0.0178433898836374,0.8407682180404663
transformer_blocks.0.attn.add_v_proj.bias,transformer_blocks.0.attn,1536,0.5772742629051208,0.6847946643829346,0.0110182762145996,0.7501935362815857
transformer_blocks.0.attn.add_v_proj.weight,transformer_blocks.0.attn,2359296,25.49541664123535,0.5038400888442993,0.0130752809345722,0.8657114505767822
transformer_blocks.0.attn.norm_added_k.weight,transformer_blocks.0.attn,64,1.6937869787216189,0.2153491526842117,0.2102126479148864,0.9994584321975708
transformer_blocks.0.attn.norm_added_q.weight,transformer_blocks.0.attn,64,1.5157862901687622,0.192192941904068,0.1872390210628509,0.999339997768402
transformer_blocks.0.attn.norm_k.weight,transformer_blocks.0.attn,64,1.667535424232483,0.1918367892503738,0.1880490928888321,0.9939190149307252
transformer_blocks.0.attn.norm_q.weight,transformer_blocks.0.attn,64,1.067217230796814,0.1261478513479232,0.1258569359779358,0.9989022612571716
transformer_blocks.0.attn.to_add_out.bias,transformer_blocks.0.attn,1536,0.6104961037635803,0.5497170090675354,0.0120363188907504,0.8397879004478455
transformer_blocks.0.attn.to_add_out.weight,transformer_blocks.0.attn,2359296,30.370590209960938,0.5022957921028137,0.0156458411365747,0.8673484921455383
transformer_blocks.0.attn.to_k.bias,transformer_blocks.0.attn,1536,1.3686881065368652,0.4516122043132782,0.0249376147985458,0.8981359004974365
transformer_blocks.0.attn.to_k.weight,transformer_blocks.0.attn,2359296,24.955883026123047,0.4964215159416199,0.0119534851983189,0.871183454990387
transformer_blocks.0.attn.to_k_control.bias,transformer_blocks.0.attn,1536,0.0,0.0,0.0,0.0
transformer_blocks.0.attn.to_k_control.weight,transformer_blocks.0.attn,2359296,0.0,0.0,0.0,0.0
transformer_blocks.0.attn.to_out.0.bias,transformer_blocks.0.attn,1536,0.5002043843269348,1.0125515460968018,0.0070989718660712,0.7961589694023132
transformer_blocks.0.attn.to_out.0.weight,transformer_blocks.0.attn,2359296,21.97661018371582,0.6354572176933289,0.0104175554588437,0.7920865416526794
transformer_blocks.0.attn.to_out_control.bias,transformer_blocks.0.attn,1536,0.9205028414726256,0.7305870652198792,0.0151328854262828,0.7308029532432556
transformer_blocks.0.attn.to_out_control.weight,transformer_blocks.0.attn,2359296,29.92328643798828,0.6641347408294678,0.0136669725179672,0.7524393200874329
transformer_blocks.0.attn.to_q.bias,transformer_blocks.0.attn,1536,0.9477680325508118,0.3784953355789184,0.0174741372466087,0.9256502389907836
transformer_blocks.0.attn.to_q.weight,transformer_blocks.0.attn,2359296,19.93364143371582,0.485248863697052,0.0092823738232254,0.8760212063789368
transformer_blocks.0.attn.to_q_control.bias,transformer_blocks.0.attn,1536,0.8793814778327942,1.5038492679595947,0.0164978597313165,0.7299385070800781
transformer_blocks.0.attn.to_q_control.weight,transformer_blocks.0.attn,2359296,19.857460021972656,0.6270111799240112,0.0091259414330124,0.8331244587898254
transformer_blocks.0.attn.to_v.bias,transformer_blocks.0.attn,1536,0.4439194202423095,0.5030965805053711,0.0084785548970103,0.8642312288284302
transformer_blocks.0.attn.to_v.weight,transformer_blocks.0.attn,2359296,27.491893768310547,0.5556865334510803,0.0136209996417164,0.8328897953033447
transformer_blocks.0.attn.to_v_control.bias,transformer_blocks.0.attn,1536,0.6430396437644958,2.965590000152588,0.0119814220815896,0.2738218605518341
transformer_blocks.0.attn.to_v_control.weight,transformer_blocks.0.attn,2359296,22.47076988220215,1.1001769304275513,0.011142075061798,0.4517882168292999
transformer_blocks.0.attn2.add_k_proj.bias,transformer_blocks.0.attn2,1536,0.0,0.0,0.0,1.0
transformer_blocks.0.attn2.add_k_proj.weight,transformer_blocks.0.attn2,2359296,0.0,0.0,0.0,1.0
transformer_blocks.0.attn2.add_q_proj.bias,transformer_blocks.0.attn2,1536,0.0,0.0,0.0,0.9999998211860656
transformer_blocks.0.attn2.add_q_proj.weight,transformer_blocks.0.attn2,2359296,0.0,0.0,0.0,1.0
transformer_blocks.0.attn2.add_v_proj.bias,transformer_blocks.0.attn2,1536,0.0,0.0,0.0,1.0000001192092896
